VEI,Agent,Death_tot
7.0,P,316.0
6.0,T,7.0
7.0,W,316.0
4.0,M,7.0
5.0,"P,T",2100.0
2.0,T,7.0
4.0,"T,L",80.0
3.0,F,7.0
4.0,F,71.0
1.0,I,316.0
5.0,"T,F",220.0
5.0,M,71.0
5.0,P,316.0
4.0,T,1.0
4.0,I,316.0
3.0,T,1.0
3.0,T,24.0
3.0,"P,T,M",1001.0
3.0,P,10.0
3.0,I,316.0
4.0,M,636.0
2.0,T,316.0
3.0,T,7.0
2.0,T,800.0
2.0,F,4.0
4.0,"M,T",200.0
5.0,"P,E,M",4000.0
4.0,M,1001.0
5.0,W,700.0
3.0,P,5000.0
4.0,P,316.0
4.0,"G,W,T",120.0
4.0,"G,T",3.0
6.0,"T,P,W,I",2000.0
5.0,"T,P",5.0
2.0,m,30.0
3.0,L,2.0
2.0,L,316.0
3.0,P,3000.0
5.0,W,316.0
2.0,G,1.0
2.0,F,1.0
4.0,L,71.0
3.0,M,71.0
3.0,P,3000.0
2.0,M,7.0
1.0,T,15.0
4.0,F,3.0
3.0,"M,T",71.0
2.0,T,2.0
4.0,"W,S",2000.0
3.0,M,316.0
3.0,M,316.0
4.0,"W,T",12.0
4.0,E,2.0
0.0,S,1053.0
4.0,M,2000.0
3.0,m,49.0
4.0,M,316.0
3.0,T,35.0
3.0,A,2957.0
2.0,I,71.0
3.0,"P,I",1300.0
4.0,T,15.0
4.0,"T,W,I",153.0
4.0,F,316.0
4.0,W,38.0
3.0,T,7.0
4.0,"F,P,I",1491.0
4.0,I,9350.0
0.0,L,7.0
2.0,A,38.0
2.0,T,7.0
4.0,P,5405.0
2.0,"W,A",15000.0
3.0,"M,L,T,G",400.0
2.0,L,316.0
5.0,I,316.0
0.0,L,2.0
2.0,T,8.0
2.0,T,7.0
1.0,L,9.0
4.0,"T, m",56.0
3.0,"P,M",953.0
4.0,"P,M,E",1200.0
7.0,"P,W,A,I",60000.0
2.0,T,1.0
2.0,M,71.0
4.0,P,50.0
5.0,"P,M",4011.0
0.0,L,7.0
3.0,M,7.0
2.0,T,316.0
2.0,L,71.0
2.0,M,126.0
5.0,"G,I",7.0
2.0,T,4.0
3.0,P,1900.0
3.0,P,316.0
3.0,P,316.0
2.0,L,56.0
3.0,M,1000.0
1.0,M,316.0
2.0,S,7.0
2.0,M,21.0
2.0,T,316.0
0.0,L,25.0
3.0,P,34.0
3.0,P,2806.0
4.0,"P,T",25.0
2.0,P,7.0
4.0,"P,I",326.0
2.0,M,54.0
2.0,T,1.0
2.0,M,3.0
2.0,"W,M",77.0
2.0,"T,A",8.0
2.0,M,316.0
2.0,W,400.0
2.0,T,1.0
3.0,P,3.0
4.0,T,30.0
4.0,P,170.0
3.0,"L,G",9.0
4.0,"P,T",200.0
3.0,T,4.0
4.0,P,316.0
3.0,T,1.0
0.0,m,7.0
4.0,M,340.0
3.0,T,1.0
2.0,L,316.0
6.0,"W,P,I",36417.0
3.0,T,71.0
2.0,A,74.0
4.0,P,2.0
2.0,T,153.0
3.0,T,15.0
2.0,W,3162.0
4.0,"A,P",461.0
2.0,P,316.0
2.0,M,180.0
3.0,"P,M",1532.0
2.0,T,2.0
3.0,"T,L",10.0
2.0,"I,M",21.0
2.0,T,4.0
2.0,?,7.0
2.0,T,1.0
3.0,"P,T,M",350.0
4.0,P,55.0
2.0,T,72.0
4.0,P,1680.0
4.0,P,28000.0
4.0,P,1500.0
6.0,"T,G",10000.0
2.0,P,16.0
1.0,T,4.0
2.0,L,1.0
2.0,T,1.0
3.0,"T,L",350.0
2.0,m,221.0
2.0,M,1.0
3.0,"P,W",1335.0
2.0,T,1.0
2.0,T,2.0
6.0,T,2.0
3.0,L,20.0
4.0,"P,m",13.0
1.0,T,1.0
3.0,T,21.0
4.0,"I,S,A,T",63.0
3.0,I,7.0
1.0,T,2.0
3.0,"S,L",325.0
1.0,A,71.0
4.0,M,5110.0
3.0,T,4.0
3.0,P,33.0
3.0,P,7.0
1.0,G,1.0
2.0,T,1.0
3.0,"M,T",144.0
1.0,M,1.0
2.0,S,48.0
3.0,P,7.0
2.0,T,40.0
3.0,"W,T",226.0
1.0,L,5.0
4.0,T,2.0
2.0,T,2.0
3.0,"P,M",200.0
3.0,T,6.0
3.0,"P,W,T",6.0
3.0,"P,M",1369.0
3.0,M,2.0
5.0,W,2.0
4.0,T,8.0
3.0,"P,T",2.0
2.0,F,3.0
4.0,"P,T,W,I",507.0
1.0,T,7.0
1.0,T,10.0
2.0,L,11.0
2.0,T,1.0
4.0,"E,I",103.0
3.0,T,1.0
2.0,"T,L,I",27.0
3.0,T,1.0
2.0,G,1.0
2.0,T,117.0
2.0,T,1.0
2.0,F,6.0
4.0,L,1.0
3.0,M,54.0
2.0,T,17.0
3.0,P,2.0
1.0,P,6.0
3.0,P,68.0
2.0,T,1.0
4.0,P,2942.0
3.0,P,500.0
2.0,P,31.0
3.0,P,64.0
2.0,T,6.0
2.0,I,25.0
4.0,G,2.0
2.0,T,1.0
2.0,T,12.0
2.0,M,1.0
3.0,P,6.0
2.0,T,1.0
3.0,T,5.0
3.0,T,15.0
5.0,"P,T,M,A",1028.0
2.0,T,1.0
2.0,M,7.0
3.0,M,7.0
3.0,"M,T",40.0
2.0,M,25.0
4.0,"P,W",355.0
4.0,"M,m,P",215.0
4.0,"P,M,I",39.0
3.0,M,3.0
3.0,"M,P",6.0
3.0,"P,T",80.0
2.0,P,3.0
3.0,"T,m",2.0
2.0,W,3.0
3.0,M,3.0
3.0,"M,T",10.0
2.0,M,15.0
2.0,I,3.0
3.0,G,1.0
2.0,W,2.0
3.0,A,4.0
3.0,M,3.0
2.0,T,3.0
3.0,M,5.0
4.0,"T,M",7.0
2.0,M,9.0
2.0,M,80.0
0.0,W,2.0
3.0,T,2.0
2.0,M,119.0
2.0,P,1.0
2.0,M,29.0
1.0,L,71.0
3.0,T,1.0
3.0,I,3.0
3.0,M,1.0
3.0,M,12.0
3.0,m,3.0
1.0,G,149.0
2.0,P,2.0
3.0,"T,P",2.0
2.0,T,9.0
2.0,T,3.0
5.0,"P,M,T",61.0
3.0,P,1.0
3.0,m,372.0
5.0,"P,T,M,S",1879.0
5.0,P,33.0
4.0,"I,T",68.0
5.0,m,1.0
2.0,T,1.0
3.0,M,1.0
3.0,S,1.0
3.0,A,70.0
3.0,M,23080.0
1.0,S,1.0
2.0,T,1.0
3.0,G,1700.0
2.0,M,1.0
3.0,I,1.0
2.0,T,2.0
3.0,"T,L",4.0
3.0,T,1.0
3.0,T,1.0
3.0,T,1.0
4.0,"T,P",32.0
2.0,G,1.0
2.0,G,1.0
3.0,T,4.0
2.0,G,1.0
1.0,P,43.0
6.0,"P,m,I",800.0
1.0,"T,P",1.0
2.0,M,2.0
3.0,"T,I",11.0
1.0,P,6.0
2.0,T,1.0
1.0,m,6.0
4.0,I,1.0
3.0,T,3.0
2.0,T,9.0
2.0,P,75.0
1.0,T,2.0
1.0,T,1.0
1.0,P,1.0
1.0,m,4.0
3.0,T,1.0
3.0,P,6.0
1.0,G,1.0
3.0,T,4.0
3.0,m,31.0
3.0,T,2.0
1.0,T,4.0
3.0,M,1.0
2.0,T,3.0
3.0,P,13.0
1.0,P,3.0
3.0,P,22.0
3.0,T,2.0
3.0,T,2.0
3.0,T,1.0
3.0,T,2.0
3.0,P,2.0
2.0,A,1.0
2.0,P,2.0
2.0,T,1.0
4.0,I,7.0
3.0,T,3.0
1.0,T,1.0
4.0,T,5.0
4.0,T,1.0
3.0,A,2.0
3.0,T,6.0
1.0,m,1266.0
4.0,M,4.0
3.0,M,2.0
1.0,T,1.0
3.0,m,4.0
1.0,G,1.0
3.0,"T,G,M",4.0
2.0,P,201.0
3.0,W,437.0
2.0,"P,T",1.0
2.0,T,22.0
4.0,T,39.0
2.0,"L,I,S",32.0
3.0,T,45.0
5.0,W,6.0
2.0,P,1.0
